"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NPIL_202691",6.06244172062466,-0.601843846388542,2.35003935035706,-0.256099476077751,0.79787402652653,NA
"NPIL_600791",0,NA,NA,NA,NA,NA
"NPIL_270331",1.07139836602811,3.73696590521037,4.84079954100282,0.771972868026719,0.440130497270207,NA
"NPIL_270341",0,NA,NA,NA,NA,NA
"NPIL_169551",9.9064296134709,0.0451256850847753,2.77980875300215,0.0162333775789576,0.98704820751079,NA
"NPIL_627031",0,NA,NA,NA,NA,NA
"NPIL_627061",0.714265577352074,3.16384889895011,4.86764989580518,0.649974621567716,0.515708614811257,NA
"NPIL_627071",0.178566394338018,1.55131424150791,4.97022905258203,0.312121277529857,0.754948356598089,NA
"NPIL_627111",2.21094340984049,1.88513333290527,3.52384194810092,0.534965347671514,0.592673819310999,NA
"NPIL_627121",0,NA,NA,NA,NA,NA
"NPIL_627131",0.535699183014056,2.75986220808976,4.89382262762373,0.563948148122779,0.572789420969672,NA
"NPIL_627152",0,NA,NA,NA,NA,NA
"NPIL_627151",0,NA,NA,NA,NA,NA
"NPIL_600051",0,NA,NA,NA,NA,NA
"NPIL_440821",0,NA,NA,NA,NA,NA
"NPIL_516291",0,NA,NA,NA,NA,NA
"NPIL_369471",0,NA,NA,NA,NA,NA
"NPIL_369491",0.178566394338018,1.55131424150791,4.97022905258203,0.312121277529857,0.754948356598089,NA
"NPIL_369501",0,NA,NA,NA,NA,NA
"NPIL_369511",0,NA,NA,NA,NA,NA
"NPIL_369521",0,NA,NA,NA,NA,NA
"NPIL_369531",0.535699183014056,2.75986220808976,4.89382262762373,0.563948148122779,0.572789420969672,NA
"NPIL_369541",0,NA,NA,NA,NA,NA
"NPIL_369551",0,NA,NA,NA,NA,NA
"NPIL_369561",1.12647818940468,1.98503318041534,4.84286666258342,0.409888051585633,0.681888070680195,NA
"NPIL_369571",0,NA,NA,NA,NA,NA
"NPIL_369581",11.4868733140965,-0.267271555190249,2.73840964473488,-0.0976010129471059,0.922249120132767,NA
"NPIL_361951",0,NA,NA,NA,NA,NA
"NPIL_641321",10.9474631691156,0.7226697794684,2.4585199663744,0.293945052044514,0.76879989142769,NA
"NPIL_579021",0,NA,NA,NA,NA,NA
"NPIL_213261",0,NA,NA,NA,NA,NA
"NPIL_295421",11.084146629385,1.01704036110291,2.18795479827432,0.46483609346275,0.642048838247766,NA
"NPIL_295422",0.357132788676037,2.21225547141107,4.93951806329321,0.447868687403108,0.654247967921518,NA
"NPIL_295431",6.47001306043663,1.87360680804364,2.62398176870529,0.714031945796673,0.47520742577358,NA
"NPIL_295451",0,NA,NA,NA,NA,NA
